focus,category,token,initial_tier,repo,support_tier,path,repo_relative_path,count,first_line,reason
script_identity_lifecycle,script_class,Script.current,Preserve,scripts,primary,stage/scripts/scripts/eherbs.lic,scripts/eherbs.lic,120,1152,Core public Script control surface.
script_identity_lifecycle,script_class,Script.current,Preserve,scripts,primary,stage/scripts/scripts/eloot.lic,scripts/eloot.lic,61,134,Core public Script control surface.
script_identity_lifecycle,script_class,Script.current,Preserve,scripts,primary,stage/scripts/scripts/bigshot.lic,scripts/bigshot.lic,56,371,Core public Script control surface.
script_identity_lifecycle,script_class,Script.run,Preserve,scripts,primary,stage/scripts/scripts/ebounty.lic,scripts/ebounty.lic,19,382,Core public Script control surface.
script_identity_lifecycle,script_class,Script.run,Preserve,scripts,primary,stage/scripts/scripts/loot-be-gone.lic,scripts/loot-be-gone.lic,16,885,Core public Script control surface.
script_identity_lifecycle,script_class,Script.run,Preserve,scripts,primary,stage/scripts/scripts/mybounty.lic,scripts/mybounty.lic,15,214,Core public Script control surface.
script_identity_lifecycle,script_class,Script.start,Preserve,scripts,primary,stage/scripts/scripts/tdusk.lic,scripts/tdusk.lic,16,150,Core public Script control surface.
script_identity_lifecycle,script_class,Script.start,Preserve,scripts,primary,stage/scripts/scripts/bigshot.lic,scripts/bigshot.lic,4,141,Core public Script control surface.
script_identity_lifecycle,script_class,Script.start,Preserve,scripts,primary,stage/scripts/scripts/autostart.lic,scripts/autostart.lic,3,149,Core public Script control surface.
script_identity_lifecycle,script_class,Script.kill,Preserve,scripts,primary,stage/scripts/scripts/treim.lic,scripts/treim.lic,5,498,Core public Script control surface.
script_identity_lifecycle,script_class,Script.kill,Preserve,scripts,primary,stage/scripts/scripts/tdusk.lic,scripts/tdusk.lic,4,148,Core public Script control surface.
script_identity_lifecycle,script_class,Script.kill,Preserve,scripts,primary,stage/scripts/scripts/calibrate_creaturebar.lic,scripts/calibrate_creaturebar.lic,3,433,Core public Script control surface.
script_identity_lifecycle,script_class_other,Script.running?,Preserve,dr-scripts,primary,stage/dr-scripts/trade.lic,trade.lic,25,121,Core public Script control surface.
script_identity_lifecycle,script_class_other,Script.running?,Preserve,scripts,primary,stage/scripts/scripts/treim.lic,scripts/treim.lic,18,496,Core public Script control surface.
script_identity_lifecycle,script_class_other,Script.running?,Preserve,scripts,primary,stage/scripts/scripts/tdusk.lic,scripts/tdusk.lic,11,90,Core public Script control surface.
script_identity_lifecycle,script_class_other,Script.exists?,Preserve,scripts,primary,stage/scripts/scripts/rofl-run.lic,scripts/rofl-run.lic,6,47,Core public Script control surface.
