repo,support_tier,path,repo_relative_path,latest_date_signal,category,token,count,first_line
scripts,primary,stage/scripts/lib/lich/gameobj.rb,lib/lich/gameobj.rb,,global_flow,clear,11,223
scripts,primary,stage/scripts/lib/lich/gameobj.rb,lib/lich/gameobj.rb,,global_io,respond,5,113
scripts,primary,stage/scripts/lib/lich/gameobj.rb,lib/lich/gameobj.rb,,global_io,echo,3,419
scripts,primary,stage/scripts/lib/lich/gameobj.rb,lib/lich/gameobj.rb,,storage_direct,File.open,2,397
scripts,primary,stage/scripts/lib/migration/change-set.rb,lib/migration/change-set.rb,,reflection_eval,instance_eval,1,21
scripts,primary,stage/scripts/lib/migration/migration.rb,lib/migration/migration.rb,,reflection_eval,send,1,23
scripts,primary,stage/scripts/lib/migration/migration.rb,lib/migration/migration.rb,,storage_direct,File.open,1,57
scripts,primary,stage/scripts/lib/migration/migrator.rb,lib/migration/migrator.rb,,global_movement,down,1,8
scripts,primary,stage/scripts/lib/migration/migrator.rb,lib/migration/migrator.rb,,reflection_eval,instance_eval,1,22
scripts,primary,stage/scripts/lib/migration/migrator.rb,lib/migration/migrator.rb,,storage_direct,File.read,1,22
scripts,primary,stage/scripts/lib/migration/table.rb,lib/migration/table.rb,,global_flow,get,1,119
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class,Script.new_downstream,2,496
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class,Script.new_downstream_xml,1,508
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class,Script.current,1,577
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class,Script.start,1,589
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class,Script.self,2,706
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class,Script.running,3,1189
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class,Script.hidden,3,1189
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class_other,Script.new_downstream,2,496
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class_other,Script.new_downstream_xml,1,508
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class_other,Script.current,1,577
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class_other,Script.exists?,1,587
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class_other,Script.start,1,589
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class_other,Script.self,2,706
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class_other,Script.running,3,1189
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,script_class_other,Script.hidden,3,1189
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_lifecycle,before_dying,2,1177
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_flow,clear,3,62
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_flow,match,11,80
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_io,respond,28,21
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_io,put,1,49
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_io,toggle_unique,1,61
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_io,echo,83,106
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_io,unique_get,1,1459
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_movement,up,2,13
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_movement,out,2,375
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,global_movement,down,1,1417
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,settings,CharSettings[,4,1138
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,settings,Settings[,9,1145
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,spell,Spell.active,1,1448
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,hooks_watchfor,UpstreamHook.remove,5,1194
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,hooks_watchfor,UpstreamHook.add,1,1225
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,reflection_eval,send,8,208
scripts,primary,stage/scripts/scripts/0net.lic,scripts/0net.lic,,reflection_eval,eval,2,1708
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class,Script.current,31,3919
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class,Script.run,13,4452
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class,Script.self,2,4555
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class,Script.list,1,6072
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class,Script.kill,1,6284
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class,Script.running,1,6284
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class_other,Script.current,31,3919
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class_other,Script.run,13,4452
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class_other,Script.self,2,4555
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class_other,Script.exists?,1,4802
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class_other,Script.list,1,6072
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class_other,Script.kill,1,6284
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,script_class_other,Script.running?,1,6284
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,global_lifecycle,before_dying,5,4658
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,global_lifecycle,pause_script,1,6058
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,global_lifecycle,start_script,6,6186
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,global_flow,clear,190,91
scripts,primary,stage/scripts/scripts/BlackArts.lic,scripts/BlackArts.lic,2025-07-30,global_flow,get,34,3643
